,code,buy_date,sell_date,buy_price,sell_price,buy_type,sell_type,profit_pct
0,000001.XSHE,2023-03-13,2023-03-14,12.95,12.68,创新高买入,开盘卖出,-2.08
1,000002.XSHE,2023-10-23,2023-10-26,11.8,11.62,创新高买入,开盘卖出,-1.53
2,000002.XSHE,2023-12-07,2023-12-08,10.93,10.75,创新高买入,止损卖出,-1.65
3,000014.XSHE,2023-04-27,2023-05-10,8.74,10.44,创新高买入,止损卖出,19.45
4,000016.XSHE,2023-10-26,2023-11-01,4.12,4.19,创新高买入,止损卖出,1.7
5,000017.XSHE,2023-06-28,2023-06-30,4.23,4.2,创新高买入,止损卖出,-0.71
6,000020.XSHE,2023-04-27,2023-05-10,9.48,9.83,创新高买入,止损卖出,3.69
7,000020.XSHE,2023-07-17,2023-07-18,13.39,12.93,创新高买入,止损卖出,-3.44
8,000020.XSHE,2023-10-25,2023-11-07,11.17,12.59,创新高买入,止损卖出,12.71
9,000026.XSHE,2023-10-25,2023-10-26,10.25,10.12,创新高买入,止损卖出,-1.27
10,000029.XSHE,2023-05-23,2023-05-24,11.32,10.94,创新高买入,止损卖出,-3.36
11,000029.XSHE,2023-10-25,2023-10-26,10.91,10.89,创新高买入,止损卖出,-0.18
12,000030.XSHE,2023-03-16,2023-03-17,4.58,4.52,创新高买入,止损卖出,-1.31
13,000031.XSHE,2023-06-28,2023-06-29,3.7,3.62,创新高买入,止损卖出,-2.16
14,000032.XSHE,2023-08-30,2023-09-01,27.34,26.95,创新高买入,止损卖出,-1.43
15,000032.XSHE,2023-09-25,2023-10-11,22.58,22.45,创新高买入,止损卖出,-0.58
16,000032.XSHE,2023-12-29,,20.38,,创新高买入,,
17,000034.XSHE,2023-09-21,2023-09-26,28.5,28.2,创新高买入,开盘卖出,-1.05
18,000035.XSHE,2023-06-16,2023-06-19,4.39,4.38,创新高买入,止损卖出,-0.23
19,000035.XSHE,2023-12-21,2023-12-25,4.77,4.64,创新高买入,止损卖出,-2.73
20,000042.XSHE,2023-04-27,2023-05-08,7.75,8.33,创新高买入,止损卖出,7.48
21,000042.XSHE,2023-06-28,2023-06-29,7.48,7.3,创新高买入,止损卖出,-2.41
22,000042.XSHE,2023-12-13,2023-12-18,6.25,6.26,创新高买入,止损卖出,0.16
23,000045.XSHE,2023-06-30,2023-07-06,10.85,10.9,创新高买入,止损卖出,0.46
24,000048.XSHE,2023-10-18,2023-10-19,18.3,17.89,创新高买入,止损卖出,-2.24
25,000049.XSHE,2023-11-29,2023-12-08,28.56,28.49,创新高买入,止损卖出,-0.25
26,000056.XSHE,2023-01-11,2023-01-13,4.57,4.62,创新高买入,止损卖出,1.09
27,000058.XSHE,2023-06-28,2023-07-05,6.13,6.2,创新高买入,止损卖出,1.14
28,000060.XSHE,2023-05-29,2023-06-07,4.6,4.74,创新高买入,止损卖出,3.04
29,000062.XSHE,2023-10-25,2023-11-01,10.62,11.33,创新高买入,止损卖出,6.69
30,000063.XSHE,2023-04-06,2023-04-10,32.73,34.96,创新高买入,止损卖出,6.81
31,000063.XSHE,2023-10-27,2023-11-01,25.74,26.0,创新高买入,止损卖出,1.01
